premises_text	Premises_text	hypothesis_text	Hipotesis_teks	id_pair	id_premis	label
"""However, fans seem to have to wait a little longer to watch the latest Doctor."""	“Namun, penggemar tampaknya harus menunggu sedikit lebih lama untuk menonton Doctor terbaru.”	During the wait for the new season, devoted fans of Doctor Who rewatched the season of Doctor Who before-previously.	Selama menunggu musim baru, penggemar setia Doctor Who kembali menonton musim Doctor Who sebelumnya-sebelumnya.	104875	10487	n
The decision led Ardian to take another step.	Keputusan itu membuat Ardian mengambil langkah lain.	Ardian resigned.	Ardian mengundurkan diri.	104880	10488	e
The decision led Ardian to take another step.	Keputusan itu membuat Ardian mengambil langkah lain.	Ardian is not at the Spanish agency anymore.	Ardian tidak berada di agensi Spanyol lagi.	104881	10488	e
The decision led Ardian to take another step.	Keputusan itu membuat Ardian mengambil langkah lain.	Ardian never worked.	Ardian tidak pernah bekerja.	104883	10488	c
The decision led Ardian to take another step.	Keputusan itu membuat Ardian mengambil langkah lain.	Ardian later accepted a new job in Argentina.	Ardian kemudian menerima pekerjaan baru di Argentina.	104884	10488	n
The happy news came from comedian Priya Prayoga Utama aka Babe Cabita.	Kabar bahagia tersebut datang dari komedian Priya Prayoga Utama alias Babe Cabita.	After Eid, Babe will be a husband.	Setelah Idul Fitri, Babe akan menjadi suami.	104891	10489	e
The happy news came from comedian Priya Prayoga Utama aka Babe Cabita.	Kabar bahagia tersebut datang dari komedian Priya Prayoga Utama alias Babe Cabita.	Babe won't get married until the end of his life.	Babe tidak akan menikah sampai akhir hidupnya.	104892	10489	c
The happy news came from comedian Priya Prayoga Utama aka Babe Cabita.	Kabar bahagia tersebut datang dari komedian Priya Prayoga Utama alias Babe Cabita.	Babe's getting married after New Year's Eve.	Babe akan menikah setelah malam tahun baru.	104893	10489	c
"""What's important is that we can choose a good story. So, we can also really play it,"" he said."	“Yang penting kita bisa memilih cerita yang bagus. Jadi, kita juga bisa benar-benar memainkannya,” ujarnya.	What's important about him is being able to choose stories.	Yang penting dari dia bisa memilih cerita.	104900	10490	e
"""What's important is that we can choose a good story. So, we can also really play it,"" he said."	“Yang penting kita bisa memilih cerita yang bagus. Jadi, kita juga bisa benar-benar memainkannya,” ujarnya.	He wants us to be able to be total when we play the character.	Dia ingin kita bisa total ketika kita memainkan karakter.	104901	10490	e
"""What's important is that we can choose a good story. So, we can also really play it,"" he said."	“Yang penting kita bisa memilih cerita yang bagus. Jadi, kita juga bisa benar-benar memainkannya,” ujarnya.	She felt there was no need to choose a movie.	Dia merasa tidak perlu memilih film.	104902	10490	c
"""What's important is that we can choose a good story. So, we can also really play it,"" he said."	“Yang penting kita bisa memilih cerita yang bagus. Jadi, kita juga bisa benar-benar memainkannya,” ujarnya.	He felt unsure he could play the film in total.	Dia merasa tidak yakin bisa memainkan film secara total.	104903	10490	c
"""What's important is that we can choose a good story. So, we can also really play it,"" he said."	“Yang penting kita bisa memilih cerita yang bagus. Jadi, kita juga bisa benar-benar memainkannya,” ujarnya.	The film was eventually chosen as Gundala Putera Lightning.	Film tersebut akhirnya dipilih sebagai Gundala Putera Lightning.	104904	10490	n
"""What's important is that we can choose a good story. So, we can also really play it,"" he said."	“Yang penting kita bisa memilih cerita yang bagus. Jadi, kita juga bisa benar-benar memainkannya,” ujarnya.	He became a leading and successful figure with his role.	Ia menjadi tokoh terkemuka dan sukses dengan perannya.	104905	10490	n
He didn't want the problem to be magnified to cause a stir, but despite the negative comments, it didn't make Kumalasari feel bad.	Dia tidak ingin masalah itu diperbesar sehingga menimbulkan kehebohan. Namun meski ada komentar negatif, hal itu tidak membuat Kumalasari merasa tidak enak.	Kumalasari doesn't feel bad about this.	Kumalasari tidak merasa buruk tentang hal ini.	104910	10491	e
He didn't want the problem to be magnified to cause a stir, but despite the negative comments, it didn't make Kumalasari feel bad.	Dia tidak ingin masalah itu diperbesar sehingga menimbulkan kehebohan. Namun meski ada komentar negatif, hal itu tidak membuat Kumalasari merasa tidak enak.	Kumalasari felt bad.	Kumalasari merasa tidak enak.	104913	10491	c
He didn't want the problem to be magnified to cause a stir, but despite the negative comments, it didn't make Kumalasari feel bad.	Dia tidak ingin masalah itu diperbesar sehingga menimbulkan kehebohan. Namun meski ada komentar negatif, hal itu tidak membuat Kumalasari merasa tidak enak.	Kumalasari thinks it's not his fault.	Kumalasari berpikir itu bukan salahnya.	104914	10491	n
"""It's been a few years since Jaz set foot in Indonesia to jump into the music industry."""	“Sudah beberapa tahun Jaz menginjakkan kaki di Indonesia untuk terjun ke industri musik.”	Jaz is from Brunei Darussalam.	Jaz berasal dari Brunei Darussalam.	104920	10492	e
"""It's been a few years since Jaz set foot in Indonesia to jump into the music industry."""	“Sudah beberapa tahun Jaz menginjakkan kaki di Indonesia untuk terjun ke industri musik.”	Jaz is still new in the Indonesian music industry.	Jaz memang masih tergolong baru di industri musik Indonesia. Ya, Jaz adalah salah satu grup musik yang cukup populer di Indonesia.	104921	10492	e
"""It's been a few years since Jaz set foot in Indonesia to jump into the music industry."""	“Sudah beberapa tahun Jaz menginjakkan kaki di Indonesia untuk terjun ke industri musik.”	Jaz is from Indonesia.	Jaz berasal dari Indonesia.	104922	10492	c
"""It's been a few years since Jaz set foot in Indonesia to jump into the music industry."""	“Sudah beberapa tahun Jaz menginjakkan kaki di Indonesia untuk terjun ke industri musik.”	Jaz has been in the Indonesian music industry for a long time.	Jaz memang sudah lama berkecimpung di industri musik Indonesia. Jaz memang dikenal sebagai salah satu musisi papan atas di Indonesia.	104923	10492	c
"""It's been a few years since Jaz set foot in Indonesia to jump into the music industry."""	“Sudah beberapa tahun Jaz menginjakkan kaki di Indonesia untuk terjun ke industri musik.”	Jaz's most famous single is Kasmaran.	Single Jaz yang paling terkenal adalah Kasmaran.	104924	10492	n
"""It's been a few years since Jaz set foot in Indonesia to jump into the music industry."""	“Sudah beberapa tahun Jaz menginjakkan kaki di Indonesia untuk terjun ke industri musik.”	Jaz felt the caste reflected his feelings for the Indonesian music industry.	Jaz merasa kasta tersebut mencerminkan perasaannya terhadap industri musik Indonesia.	104925	10492	n
"""He judged Weinstein to be doing what he used to do with his company to benefit.Following Streep, Lawrence also opened his voice."""	“Dia menilai Weinstein melakukan apa yang biasa dia lakukan dengan perusahaannya untuk mendapatkan keuntungan. Mengikuti Streep, Lawrence juga membuka suaranya.”	Weinstein imitated what he did with his company.	Weinstein meniru apa yang dia lakukan dengan perusahaannya.	104930	10493	e
"""He judged Weinstein to be doing what he used to do with his company to benefit.Following Streep, Lawrence also opened his voice."""	“Dia menilai Weinstein melakukan apa yang biasa dia lakukan dengan perusahaannya untuk mendapatkan keuntungan. Mengikuti Streep, Lawrence juga membuka suaranya.”	Lawrence also opened his voice after Streep.	Lawrence juga membuka suaranya setelah Streep.	104931	10493	e
"""He judged Weinstein to be doing what he used to do with his company to benefit.Following Streep, Lawrence also opened his voice."""	“Dia menilai Weinstein melakukan apa yang biasa dia lakukan dengan perusahaannya untuk mendapatkan keuntungan. Mengikuti Streep, Lawrence juga membuka suaranya.”	He did not know Weinstein.	Dia tidak tahu Weinstein.	104932	10493	c
"""He judged Weinstein to be doing what he used to do with his company to benefit.Following Streep, Lawrence also opened his voice."""	“Dia menilai Weinstein melakukan apa yang biasa dia lakukan dengan perusahaannya untuk mendapatkan keuntungan. Mengikuti Streep, Lawrence juga membuka suaranya.”	Lawrence never opened a voice.	Lawrence tak pernah buka suara.	104933	10493	c
"""He judged Weinstein to be doing what he used to do with his company to benefit.Following Streep, Lawrence also opened his voice."""	“Dia menilai Weinstein melakukan apa yang biasa dia lakukan dengan perusahaannya untuk mendapatkan keuntungan. Mengikuti Streep, Lawrence juga membuka suaranya.”	Lawrence had the same opinion as Streep.	Lawrence memiliki pendapat yang sama dengan Streep.	104934	10493	n
"""He judged Weinstein to be doing what he used to do with his company to benefit.Following Streep, Lawrence also opened his voice."""	“Dia menilai Weinstein melakukan apa yang biasa dia lakukan dengan perusahaannya untuk mendapatkan keuntungan. Mengikuti Streep, Lawrence juga membuka suaranya.”	He felt Stree and Lawrence supported him.	Dia merasa Stree dan Lawrence mendukungnya.	104935	10493	n
Abdul Latif Jameel is one of the largest companies in the world with a fortune of US$1.5 billion.	Abdul Latif Jameel adalah salah satu perusahaan terbesar di dunia dengan kekayaan mencapai 1,5 miliar dolar AS.	The world's largest company has a US$1.5 billion fortune.	Perusahaan terbesar di dunia ini memiliki kekayaan senilai US$ 1,5 miliar.	104940	10494	e
Abdul Latif Jameel is one of the largest companies in the world with a fortune of US$1.5 billion.	Abdul Latif Jameel adalah salah satu perusahaan terbesar di dunia dengan kekayaan mencapai 1,5 miliar dolar AS.	Jameel will get a wealth derivative.	Jameel akan mendapatkan turunan kekayaan.	104941	10494	e
Abdul Latif Jameel is one of the largest companies in the world with a fortune of US$1.5 billion.	Abdul Latif Jameel adalah salah satu perusahaan terbesar di dunia dengan kekayaan mencapai 1,5 miliar dolar AS.	That wealth will not be passed down to Jameel.	Kekayaan itu tidak akan diturunkan kepada Jameel.	104942	10494	c
Abdul Latif Jameel is one of the largest companies in the world with a fortune of US$1.5 billion.	Abdul Latif Jameel adalah salah satu perusahaan terbesar di dunia dengan kekayaan mencapai 1,5 miliar dolar AS.	Abdul Latif Jameel is one of the poorest companies in the world.	Abdul Latif Jameel adalah salah satu perusahaan termiskin di dunia.	104943	10494	c
Abdul Latif Jameel is one of the largest companies in the world with a fortune of US$1.5 billion.	Abdul Latif Jameel adalah salah satu perusahaan terbesar di dunia dengan kekayaan mencapai 1,5 miliar dolar AS.	Jameel is trained to manage money from now on.	Jameel dilatih untuk mengelola uang dari sekarang.	104944	10494	n
Abdul Latif Jameel is one of the largest companies in the world with a fortune of US$1.5 billion.	Abdul Latif Jameel adalah salah satu perusahaan terbesar di dunia dengan kekayaan mencapai 1,5 miliar dolar AS.	Jameel is confident he will be able to continue his father's company.	Jameel yakin dia akan bisa melanjutkan perusahaan ayahnya.	104945	10494	n
The 1936 Berlin Olympics were the first Olympics to be televised, albeit only for local audiences.Newly at the 1956 Winter Olympics in Cortina d'Ampezzo, Italy, the Olympic event was televised internationally.	Olimpiade Berlin 1936 adalah Olimpiade pertama yang disiarkan di televisi, meskipun hanya untuk penonton lokal. Baru-baru ini pada Olimpiade Musim Dingin 1956 di Cortina d'Ampezzo, Italia, acara Olimpiade itu disiarkan secara internasional.	The first time the Olympics were televised was in 1936.	Olimpiade pertama kali disiarkan pada tahun 1936.	104950	10495	e
The 1936 Berlin Olympics were the first Olympics to be televised, albeit only for local audiences.Newly at the 1956 Winter Olympics in Cortina d'Ampezzo, Italy, the Olympic event was televised internationally.	Olimpiade Berlin 1936 adalah Olimpiade pertama yang disiarkan di televisi, meskipun hanya untuk penonton lokal. Baru-baru ini pada Olimpiade Musim Dingin 1956 di Cortina d'Ampezzo, Italia, acara Olimpiade itu disiarkan secara internasional.	The 1956 Olympics were first broadcast on television internationally.	Olimpiade 1956 pertama kali disiarkan di televisi internasional.	104951	10495	e
"""The 1936 Berlin Olympics were the first to be televised, although only for local audiences."	"Olimpiade Berlin 1936 adalah yang pertama kali disiarkan di televisi, meskipun hanya untuk penonton lokal."	The Olympics have never been broadcast on television until now.	Olimpiade belum pernah disiarkan di televisi sampai sekarang.	104952	10495	c
"""The 1936 Berlin Olympics were the first to be televised, although only for local audiences."	"Olimpiade Berlin 1936 adalah yang pertama kali disiarkan di televisi, meskipun hanya untuk penonton lokal."	The Berlin Olympics were the first Olympic Games to be televised internationally.	Olimpiade Berlin adalah Olimpiade pertama yang disiarkan secara internasional.	104953	10495	c
"""The 1936 Berlin Olympics were the first to be televised, although only for local audiences."	"Olimpiade Berlin 1936 adalah yang pertama kali disiarkan di televisi, meskipun hanya untuk penonton lokal."	Winter Olympics are better than the Berlin Olympics.	Olimpiade musim dingin lebih baik daripada Olimpiade Berlin.	104954	10495	n
The 1936 Berlin Olympics were the first Olympics to be televised, albeit only for local audiences.Newly at the 1956 Winter Olympics in Cortina d'Ampezzo, Italy, the Olympic event was televised internationally.	Olimpiade Berlin 1936 adalah Olimpiade pertama yang disiarkan di televisi, meskipun hanya untuk penonton lokal. Baru-baru ini pada Olimpiade Musim Dingin 1956 di Cortina d'Ampezzo, Italia, acara Olimpiade itu disiarkan secara internasional.	Winter Olympic participants were fewer than the Berlin Olympics.	Para peserta Olimpiade Musim Dingin lebih sedikit daripada Olimpiade Berlin.	104955	10495	n
"""Indonesia first participated at the 1952 Helsinki Olympics in Finland, and never missed participating in the following years, except in 1964 and 1980."""	"""Indonesia pertama kali berpartisipasi pada Olimpiade Helsinki 1952 di Finlandia, dan tidak pernah absen berpartisipasi pada tahun-tahun berikutnya, kecuali pada 1964 dan 1980."""	Indonesia has only missed twice since the Helsinki Olympics.	Indonesia baru dua kali absen sejak Olimpiade Helsinki.	104960	10496	e
"""Indonesia first participated at the 1952 Helsinki Olympics in Finland, and never missed participating in the following years, except in 1964 and 1980."""	"""Indonesia pertama kali berpartisipasi pada Olimpiade Helsinki 1952 di Finlandia, dan tidak pernah absen berpartisipasi pada tahun-tahun berikutnya, kecuali pada 1964 dan 1980."""	The Summer Olympics are held once a year.	Olimpiade Musim Panas diadakan setahun sekali.	104961	10496	e
"""Indonesia first participated at the 1952 Helsinki Olympics in Finland, and never missed participating in the following years, except in 1964 and 1980."""	"""Indonesia pertama kali berpartisipasi pada Olimpiade Helsinki 1952 di Finlandia, dan tidak pernah absen berpartisipasi pada tahun-tahun berikutnya, kecuali pada 1964 dan 1980."""	Indonesia was never absent from the Olympics.	Indonesia tidak pernah absen dalam Olimpiade.	104962	10496	c
"""Indonesia first participated at the 1952 Helsinki Olympics in Finland, and never missed participating in the following years, except in 1964 and 1980."""	"""Indonesia pertama kali berpartisipasi pada Olimpiade Helsinki 1952 di Finlandia, dan tidak pernah absen berpartisipasi pada tahun-tahun berikutnya, kecuali pada 1964 dan 1980."""	In 1964 and 1980 Indonesia attended the Summer Olympics.	Pada tahun 1964 dan 1980 Indonesia mengikuti Olimpiade Musim Panas.	104963	10496	c
"""Indonesia first participated at the 1952 Helsinki Olympics in Finland, and never missed participating in the following years, except in 1964 and 1980."""	"""Indonesia pertama kali berpartisipasi pada Olimpiade Helsinki 1952 di Finlandia, dan tidak pernah absen berpartisipasi pada tahun-tahun berikutnya, kecuali pada 1964 dan 1980."""	Indonesia did not follow through on the two years due to political instability.	Indonesia tidak mengikuti selama dua tahun karena ketidakstabilan politik.	104964	10496	n
"""Indonesia first participated at the 1952 Helsinki Olympics in Finland, and never missed participating in the following years, except in 1964 and 1980."""	"""Indonesia pertama kali berpartisipasi pada Olimpiade Helsinki 1952 di Finlandia, dan tidak pernah absen berpartisipasi pada tahun-tahun berikutnya, kecuali pada 1964 dan 1980."""	Each year not all countries participate in the Summer Olympics.	Setiap tahun tidak semua negara berpartisipasi dalam Olimpiade Musim Panas.	104965	10496	n
"""In 2001, the International Olympic Committee (IOC) and the International Paralympic Committee (IPC) signed an agreement guaranteeing that the host city of the Olympics would also be contracted to host the Paralympics."	"Pada tahun 2001, Komite Olimpiade Internasional (IOC) dan Komite Paralimpiade Internasional (IPC) menandatangani perjanjian yang menjamin bahwa kota tuan rumah Olimpiade juga akan dikontrak untuk menjadi tuan rumah Paralimpiade."	Since 2001 the Olympic hosts have also hosted the Paralympic Games.	"Sejak tahun 2001, tuan rumah Olimpiade juga menjadi tuan rumah Paralimpiade."	104970	10497	e
"""In 2001, the International Olympic Committee (IOC) and the International Paralympic Committee (IPC) signed an agreement guaranteeing that the host city of the Olympics would also be contracted to host the Paralympics."	"Pada tahun 2001, Komite Olimpiade Internasional (IOC) dan Komite Paralimpiade Internasional (IPC) menandatangani perjanjian yang menjamin bahwa kota tuan rumah Olimpiade juga akan dikontrak untuk menjadi tuan rumah Paralimpiade."	The IOC and IPC agreements began during the 2008 Beiking Summer Olympics.	Perjanjian IOC dan IPC dimulai selama Olimpiade Musim Panas Beiking 2008.	104971	10497	e
"""In 2001, the International Olympic Committee (IOC) and the International Paralympic Committee (IPC) signed an agreement guaranteeing that the host city of the Olympics would also be contracted to host the Paralympics."	"Pada tahun 2001, Komite Olimpiade Internasional (IOC) dan Komite Paralimpiade Internasional (IPC) menandatangani perjanjian yang menjamin bahwa kota tuan rumah Olimpiade juga akan dikontrak untuk menjadi tuan rumah Paralimpiade."	Semenjadk 2001 hosts the Olympics not hosting the Paralympic Games.	Semenjadk 2001 menjadi tuan rumah Olimpiade tidak menyelenggarakan Paralimpiade.	104972	10497	c
"""In 2001, the International Olympic Committee (IOC) and the International Paralympic Committee (IPC) signed an agreement guaranteeing that the host city of the Olympics would also be contracted to host the Paralympics."	"Pada tahun 2001, Komite Olimpiade Internasional (IOC) dan Komite Paralimpiade Internasional (IPC) menandatangani perjanjian yang menjamin bahwa kota tuan rumah Olimpiade juga akan dikontrak untuk menjadi tuan rumah Paralimpiade."	The IOC and IPC agreements came into force at the 2018 Japan Summer Olympics.	Perjanjian IOC dan IPC mulai berlaku pada Olimpiade Musim Panas Jepang 2018.	104973	10497	c
"""In 2001, the International Olympic Committee (IOC) and the International Paralympic Committee (IPC) signed an agreement guaranteeing that the host city of the Olympics would also be contracted to host the Paralympics."	"Pada tahun 2001, Komite Olimpiade Internasional (IOC) dan Komite Paralimpiade Internasional (IPC) menandatangani perjanjian yang menjamin bahwa kota tuan rumah Olimpiade juga akan dikontrak untuk menjadi tuan rumah Paralimpiade."	The agreement could be concluded a success.	Perjanjian ini dapat disimpulkan sebagai sebuah keberhasilan.	104974	10497	n
"""In 2001, the International Olympic Committee (IOC) and the International Paralympic Committee (IPC) signed an agreement guaranteeing that the host city of the Olympics would also be contracted to host the Paralympics."	"Pada tahun 2001, Komite Olimpiade Internasional (IOC) dan Komite Paralimpiade Internasional (IPC) menandatangani perjanjian yang menjamin bahwa kota tuan rumah Olimpiade juga akan dikontrak untuk menjadi tuan rumah Paralimpiade."	Revenue for the Olympic host nation increased.	Pendapatan untuk negara tuan rumah Olimpiade meningkat.	104975	10497	n
"""At the 2008 Beijing Olympics, Indonesia won its first gold through badminton through men's doubles pair Markis Kido-Hendra Setiawan. while silver medals were won by Nova Widianto-Lilyana Natsir (mixed double tank bull), while bronze medals were won by Maria Kristin Yulianti (single tank bull), Eko Yuli Irawan (iron lift 288 kg) and Triyatno (iron lift 298 kg)."""	“Pada Olimpiade Beijing 2008, Indonesia meraih emas pertamanya melalui bulu tangkis melalui pasangan ganda putra Markis Kido-Hendra Setiawan. Sedangkan medali perak diraih oleh Nova Widianto-Lilyana Natsir (bulu tangkis campuran), sedangkan medali perunggu diraih oleh Maria Kristin Yulianti (bulu tangkis tunggal), Eko Yuli Irawan (bulu tangkis ganda 288 kg) dan Triyatno (bulu tangkis ganda 298 kg).”	The first gold medals were made in India.	Medali emas pertama dibuat di India.	104981	10498	e
"""At the 2008 Beijing Olympics, Indonesia won its first gold through badminton through men's doubles pair Markis Kido-Hendra Setiawan. while silver medals were won by Nova Widianto-Lilyana Natsir (mixed double tank bull), while bronze medals were won by Maria Kristin Yulianti (single tank bull), Eko Yuli Irawan (iron lift 288 kg) and Triyatno (iron lift 298 kg)."""	“Pada Olimpiade Beijing 2008, Indonesia meraih emas pertamanya melalui bulu tangkis melalui pasangan ganda putra Markis Kido-Hendra Setiawan. Sedangkan medali perak diraih oleh Nova Widianto-Lilyana Natsir (bulu tangkis campuran), sedangkan medali perunggu diraih oleh Maria Kristin Yulianti (bulu tangkis tunggal), Eko Yuli Irawan (bulu tangkis ganda 288 kg) dan Triyatno (bulu tangkis ganda 298 kg).”	Indonesia has never won gold at the Olympics until now.	Indonesia belum pernah meraih emas di Olimpiade hingga saat ini.	104982	10498	c
"""At the 2008 Beijing Olympics, Indonesia won its first gold through badminton through men's doubles pair Markis Kido-Hendra Setiawan. while silver medals were won by Nova Widianto-Lilyana Natsir (mixed double tank bull), while bronze medals were won by Maria Kristin Yulianti (single tank bull), Eko Yuli Irawan (iron lift 288 kg) and Triyatno (iron lift 298 kg)."""	“Pada Olimpiade Beijing 2008, Indonesia meraih emas pertamanya melalui bulu tangkis melalui pasangan ganda putra Markis Kido-Hendra Setiawan. Sedangkan medali perak diraih oleh Nova Widianto-Lilyana Natsir (bulu tangkis campuran), sedangkan medali perunggu diraih oleh Maria Kristin Yulianti (bulu tangkis tunggal), Eko Yuli Irawan (bulu tangkis ganda 288 kg) dan Triyatno (bulu tangkis ganda 298 kg).”	Indonesia's first gold was donated by a weightlifting branch.	Emas pertama Indonesia disumbangkan oleh cabang angkat besi.	104983	10498	c
"""At the 2012 London Olympics, Indonesia sent 22 athletes, with the details of nine athletes from the badminton branch, followed by a weightlifting branch of six athletes, while the athletic branch qualified two athletes, while the fencing, archery, swimming, judo and shooting each qualified one athlete."	“Pada Olimpiade London 2012, Indonesia mengirimkan 22 atlet, dengan rincian sembilan atlet dari cabang bulu tangkis, diikuti cabang angkat besi sebanyak enam atlet. Sedangkan cabang atletik lolos dua atlet, sedangkan cabang anggar, panahan, renang, judo dan menembak masing-masing atlet yang lolos satu atlet.	22 athletes were sent to Indonesia at the 2012 London Olympics.	22 atlet dikirim ke Indonesia pada Olimpiade London 2012.	104990	10499	e
"""At the 2012 London Olympics, Indonesia sent 22 athletes, with the details of nine athletes from the badminton branch, followed by a weightlifting branch of six athletes, while the athletic branch qualified two athletes, while the fencing, archery, swimming, judo and shooting each qualified one athlete."	“Pada Olimpiade London 2012, Indonesia mengirimkan 22 atlet, dengan rincian sembilan atlet dari cabang bulu tangkis, diikuti cabang angkat besi sebanyak enam atlet. Sedangkan cabang atletik lolos dua atlet, sedangkan cabang anggar, panahan, renang, judo dan menembak masing-masing atlet yang lolos satu atlet.	The 2012 London Olympics sent three athletics athletes.	Olimpiade London 2012 mengirimkan tiga atlet atletik.	104993	10499	c
"""At the 2012 London Olympics, Indonesia sent 22 athletes, with the details of nine athletes from the badminton branch, followed by a weightlifting branch of six athletes, while the athletic branch qualified two athletes, while the fencing, archery, swimming, judo and shooting each qualified one athlete."	“Pada Olimpiade London 2012, Indonesia mengirimkan 22 atlet, dengan rincian sembilan atlet dari cabang bulu tangkis, diikuti cabang angkat besi sebanyak enam atlet. Sedangkan cabang atletik lolos dua atlet, sedangkan cabang anggar, panahan, renang, judo dan menembak masing-masing atlet yang lolos satu atlet.	Indonesia's 2012 London Olympics have more medals than the 20018 Beijing Olympics.	Olimpiade London 2012 Indonesia memiliki lebih banyak medali dibandingkan Olimpiade Beijing 20018.	104994	10499	n
Barrie enrolled at the University of Edinburgh where she wrote a drama review for the Edinburgh Evening Courant.	Barrie terdaftar di Universitas Edinburgh di mana ia menulis ulasan drama untuk Edinburgh Evening Courant.	Barrie wrote a drama review.	Barrie menulis ulasan drama.	105000	10500	e
Barrie enrolled at the University of Edinburgh where she wrote a drama review for the Edinburgh Evening Courant.	Barrie terdaftar di Universitas Edinburgh di mana ia menulis ulasan drama untuk Edinburgh Evening Courant.	Barrie never wrote a drama review.	Barrie tidak pernah menulis ulasan drama.	105001	10500	c
Barrie enrolled at the University of Edinburgh where she wrote a drama review for the Edinburgh Evening Courant.	Barrie terdaftar di Universitas Edinburgh di mana ia menulis ulasan drama untuk Edinburgh Evening Courant.	Barrie enrolled at the University of Oxford.	Barrie mendaftar di Universitas Oxford.	105002	10500	n
Barrie enrolled at the University of Edinburgh where she wrote a drama review for the Edinburgh Evening Courant.	Barrie terdaftar di Universitas Edinburgh di mana ia menulis ulasan drama untuk Edinburgh Evening Courant.	Barrie wrote for the Edinburgh Evening Courant.	Barrie menulis untuk Edinburgh Evening Courant.	105003	10500	e
Barrie enrolled at the University of Edinburgh where she wrote a drama review for the Edinburgh Evening Courant.	Barrie terdaftar di Universitas Edinburgh di mana ia menulis ulasan drama untuk Edinburgh Evening Courant.	Barrie did not enroll at the University of Edinburgh.	Barrie tidak mendaftar di Universitas Edinburgh.	105004	10500	c
Barrie enrolled at the University of Edinburgh where she wrote a drama review for the Edinburgh Evening Courant.	Barrie terdaftar di Universitas Edinburgh di mana ia menulis ulasan drama untuk Edinburgh Evening Courant.	Barrie wrote a book review.	Barrie menulis ulasan buku.	105005	10500	n
However, there are also linguists who assume that Alas and Kluet are two different languages.	Namun, ada juga ahli bahasa yang beranggapan bahwa Alas dan Kluet adalah dua bahasa yang berbeda.	Some linguists consider Alas and Kluet to be the same two languages.	Beberapa ahli bahasa menganggap Alas dan Kluet sebagai dua bahasa yang sama.	105010	10501	e
However, there are also linguists who assume that Alas and Kluet are two different languages.	Namun, ada juga ahli bahasa yang beranggapan bahwa Alas dan Kluet adalah dua bahasa yang berbeda.	No linguist considers Alas and Kluet to be two different languages.	Tidak ada ahli bahasa yang menganggap Alas dan Kluet sebagai dua bahasa yang berbeda.	105011	10501	c
However, there are also linguists who assume that Alas and Kluet are two different languages.	Namun, ada juga ahli bahasa yang beranggapan bahwa Alas dan Kluet adalah dua bahasa yang berbeda.	Steven is a linguist who considers Alas and Kluet to be two different languages.	Steven adalah seorang ahli bahasa yang menganggap Alas dan Kluet sebagai dua bahasa yang berbeda.	105012	10501	n
However, there are also linguists who assume that Alas and Kluet are two different languages.	Namun, ada juga ahli bahasa yang beranggapan bahwa Alas dan Kluet adalah dua bahasa yang berbeda.	No linguist considers Alas and Kluet to be the same two languages.	Tidak ada ahli bahasa yang menganggap Alas dan Kluet sebagai dua bahasa yang sama.	105014	10501	c
Samarinda also has textile products called Samarinda Sarung and Batik Ampiek, batiks that are patterned Dayak carvings.	Samarinda juga memiliki produk tekstil bernama Samarinda Sarung dan Batik Ampiek, batik yang berpola ukiran Dayak.	"In this way, the batik is a batik that is patterned with Dayak carvings."	Batik ini merupakan batik yang berpola dengan ukiran khas Dayak.	105020	10502	e
Samarinda also has textile products called Samarinda Sarung and Batik Ampiek, batiks that are patterned Dayak carvings.	Samarinda juga memiliki produk tekstil bernama Samarinda Sarung dan Batik Ampiek, batik yang berpola ukiran Dayak.	Samarinda has at least two textile products.	Samarinda setidaknya memiliki dua produk tekstil.	105023	10502	e
Samarinda also has textile products called Samarinda Sarung and Batik Ampiek, batiks that are patterned Dayak carvings.	Samarinda juga memiliki produk tekstil bernama Samarinda Sarung dan Batik Ampiek, batik yang berpola ukiran Dayak.	Batik Ampiek is a batik patterned with Depok engravings.	Batik Ampiek adalah batik yang berpola ukiran Depok. Batik Ampiek adalah batik yang dipadukan dengan ukiran khas Depok.	105024	10502	c
Samarinda also has textile products called Samarinda Sarung and Batik Ampiek, batiks that are patterned Dayak carvings.	Samarinda juga memiliki produk tekstil bernama Samarinda Sarung dan Batik Ampiek, batik yang berpola ukiran Dayak.	The Samarinda sarong is patterned with Dayak engravings.	Sarong Samarinda berpola ukiran Dayak.	105025	10502	n
In 1941, on the eve of the Japanese invasion of Southeast Asia, HOA PA School still had 1,161 students.	Pada tahun 1941, menjelang invasi Jepang ke Asia Tenggara, HOA PA School masih memiliki 1.161 siswa.	By 1941, HOA PA School still had 161 students.	Pada tahun 1941, HOA PA School masih memiliki 161 siswa.	105031	10503	c
In 1941, on the eve of the Japanese invasion of Southeast Asia, HOA PA School still had 1,161 students.	Pada tahun 1941, menjelang invasi Jepang ke Asia Tenggara, HOA PA School masih memiliki 1.161 siswa.	By 1941, HOA PA School still had 1,161 students.	Pada tahun 1941, HOA PA School masih memiliki 1.161 siswa.	105033	10503	e
In 1941, on the eve of the Japanese invasion of Southeast Asia, HOA PA School still had 1,161 students.	Pada tahun 1941, menjelang invasi Jepang ke Asia Tenggara, HOA PA School masih memiliki 1.161 siswa.	In 1941, Ervan was a HOA PA School student.	Pada tahun 1941, Ervan adalah seorang siswa HOA PA School. Pada tahun 1941, Ervan menjadi salah satu siswa yang paling terkenal di sekolah ini.	105035	10503	n
